tmass_id,source_id,phot_g_mean_mag,bp_rp,parallax,parallax_over_error,ruwe,teff_gspphot,Assoc,assoc_age_myr,v_est,distance_pc
11080791-6341469,5240822208157707648,11.16968,1.7254992,11.230642754466803,131.20224,7.0067296,4264.5083,LCC,15.0,11.47920176185546,89.04209864589153
10591401-6119145,5337971005484302592,6.1765976,-0.09967899,8.508559587026776,86.86253,2.535345,12066.865,LCC,15.0,6.195280113288351,117.52870621306175
05285136-4628192,4799008375640297344,10.431383,0.85241604,7.687337529286808,627.8305,0.9845349,5576.92,OCT,35.0,10.552276721357812,130.08405006157898
12451416-4429077,6132672029732817024,19.35865,3.4921627,12.154921771252145,36.00514,0.9981091,,TWA,10.0,19.55943189048931,82.27119999777543
12360103-3952102,6147117727029871360,5.7831683,-0.0033512115,14.129980039561076,299.83603,0.9574585,9653.217,TWA,10.0,5.800747273445336,70.77150832486691
11321831-3019518,3481965141177021568,15.23906,3.1785564,21.088913310957413,478.46497,1.5704386,,TWA,10.0,15.55567504026024,47.41828017664705
06131330-2742054,2899492637251200512,10.942436,2.7380028,29.61558836599469,135.94235,12.638136,,BPMG,24.0,11.335964774577837,33.76600145983334
11324124-2651559,3485098646237003392,11.233751,2.5227947,21.75850443711053,770.8098,1.0711974,,TWA,10.0,11.634677634329137,45.95904111380172
05270477-1154033,3009908378049913216,6.209527,0.73616266,37.25385312651125,1913.2361,0.9183497,5901.527,BPMG,24.0,6.3077451433372085,26.842860968074255
05492632+0405379,3319628434087776000,13.808695,2.656124,10.265820279690203,121.29075,3.8939648,3504.813,THOR,22.0,14.207110582741059,97.4106279630075
04321606+1812464,3314309890186259712,15.020603,3.6530552,6.733564267979626,144.29909,1.1251842,,TAU,1.5,15.139037585273309,148.50975801260827
04515424+1758280,3406540773815790592,13.53109,2.4103708,6.248716332545367,96.69776,1.6684209,,TAU,1.5,13.929302775137435,160.03286863762267
04344544+2308027,145982742935380096,16.784393,4.1695642,6.0426353167469244,66.84608,0.9464647,,TAU,1.5,16.51752478508611,165.49070853714102
05160212+2214528,3414676232147787136,15.082401,3.4082613,5.896727791539925,120.095894,1.2217041,,TAU,1.5,15.3197424130692,169.58557955391916
04591543+3753251,198776553956317312,4.980049,0.015380859,20.239946346267057,187.93338,1.0867895,9579.998,COL,42.0,4.997795453202939,49.4072455969941
08422710-7857479,5209037736474704512,13.722014,2.864028,10.152221176913145,737.75183,1.271774,3473.032,ETAC,11.0,14.102636374844943,98.50061209009802
10381765-6408064,5239891682052584832,10.441349,0.80768776,6.607979580515029,522.5542,0.98540425,5691.358,IC2602,46.0,10.553315727424943,151.33218676230527
10400003-6315110,5253452062000579200,10.582085,0.8339224,6.707669952591023,590.81775,0.92649335,5582.936,IC2602,46.0,10.699258730255764,149.08306566480994
12424975-5556492,6073279508288863744,6.0463467,-0.0055270195,9.271851945383155,84.63472,3.0514388,,LCC,15.0,6.063914047721557,107.85331839751196
11210042-5429277,5346659311979165184,3.873441,-0.18834853,13.95977291202661,14.055073,19.403248,13967.654,LCC,15.0,3.8961996185424557,71.63440310253765
12365895-5412178,6074563978391541888,10.131341,1.0927076,8.63615243698683,658.6142,0.80009073,5185.434,LCC,15.0,10.30340837482914,115.79230534621063
13105843-5234006,6080068545902295040,6.027585,-0.104148865,9.234942621543565,142.46681,1.25074,,LCC,15.0,6.046401072211256,108.28437608991403
13315360-5113330,6069964029740148352,9.643617,0.9791479,7.314361747872716,54.888474,7.234419,5650.9126,LCC,15.0,9.790937078985465,136.71732879370325
13441599-5100448,6069592570910476288,6.421834,-0.1374898,7.44224369364401,139.67511,0.84985673,,LCC,15.0,6.4418840748396775,134.3680805365245
