cluster,pl_name,ra_in,dec_in,sy_vmag,st_teff,vis_waltzer_2026,nn_sep_arcsec,nn_dG,crowded_vis,NUV_median_snr,NUV_transit_uncert,VIS_median_snr,VIS_transit_uncert,NIR_snr,NIR_transit_uncert,pl_trandur,st_rad,st_mass,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,nn_source_id,cluster_center_ra,cluster_center_dec,target,teff,r_star,m_star,ra_etc,dec_etc,V_mag,transit_dur,NUV_min_flux,NUV_median_flux,NUV_max_flux,NUV_min_snr,NUV_max_snr,VIS_min_flux,VIS_median_flux,VIS_max_flux,VIS_min_snr,VIS_max_snr,NIR_min_flux,NIR_median_flux,NIR_max_flux
NGC 2632,Gaia DR3 664530641552621440,130.12063519387806,20.88640090045081,12.48565842849198,5485.54931640625,1120-0407,232.2434298344809,-3.03306,False,1.3961055772802946,1012970.355098843,93.43681895259012,15135.506304968148,5176.4335980016485,273.2022995367021,2.5,,,Gaia DR3 664530641552621440,664530641552621440,12.346144,12.736555,11.794111,0.94244385,5485.5493,4.5687,4.0158982046296385,-37.33433264454451,5.084848168708837,0.9721977,664528167651463936,129.99333333333337,19.609166666666667,Gaia DR3 664530641552621440,5485.54931640625,,,130.12063519387806,20.88640090045081,12.48565842849198,2.5,0.0182221721266996,0.567449380614797,8.9649228924946,0.0568701616354174,21.2729712982082,12.521429337555002,44.68059680538255,53.92067376119227,43.46199412157168,109.22118842812456,37.33370359386067,53.82923688026744,55.363482737761835
NGC 2632,Gaia DR3 659452272221698432,129.70703803938113,18.26581015315567,12.485698197940414,4980.4677734375,1120-0407,75.59953830240428,-0.9257231,False,1.396054855771285,1013007.1583697032,93.43468297039632,15135.8523132269,5176.2772831056245,273.2105497881299,2.5,,,Gaia DR3 659452272221698432,659452272221698432,12.30858,12.788989,11.6734915,1.1154976,4980.468,4.5623,5.358541989345123,-35.53449949838832,-11.272379200049688,0.9664996,659452405364043904,129.99333333333337,19.609166666666667,Gaia DR3 659452272221698432,4980.4677734375,,,129.70703803938113,18.26581015315567,12.485698197940414,2.5,0.0182215046786956,0.5674285958832181,8.964594522207642,0.0568680792705402,21.27227798328791,12.52097069832363,44.678960229076154,53.91869873616101,43.46079842824457,109.21877921483278,37.33233612209217,53.827265204417785,55.36145486502588
NGC 2632,Gaia DR3 661121464015042048,131.1353920698215,19.38742006637932,12.487741647513396,5985.75830078125,1120-0407,23.901596797432763,-1.092989,False,3.491259277784321,405072.62562023354,88.51860454993816,15976.455679159068,4270.457508280021,331.16207329801694,2.5,,,Gaia DR3 661121464015042048,661121464015042048,12.390832,12.674359,11.945201,0.7291584,5985.7583,4.256,2.3412362060413567,-3.9213090269168016,-4.488750109390877,1.0437502,661121846267457408,129.99333333333337,19.609166666666667,Gaia DR3 661121464015042048,5985.75830078125,,,131.1353920698215,19.38742006637932,12.487741647513396,2.5,0.0331069496910358,1.4517028893363155,11.419188112597617,0.1238516038189803,26.408141250962284,16.045763343319297,41.9273456941074,46.69271731155088,47.40383654222503,104.68166573937422,29.15295120988033,42.58330693255165,46.51753256780214
NGC 2632,Gaia DR3 659676813112280064,129.6786981612025,18.665196991801313,12.48811046952591,5695.095703125,1120-0407,101.87925200036864,-2.399294,False,2.0878231743816675,677362.7095081606,91.36459406002048,15478.792161480527,4770.715966229705,296.43633626144117,2.5,,,Gaia DR3 659676813112280064,659676813112280064,12.382035,12.688104,11.910632,0.77747154,5695.0957,3.4609,0.9637480782589624,-4.6178227064347865,1.9180023048392816,1.0732237,659676435154052608,129.99333333333337,19.609166666666667,Gaia DR3 659676813112280064,5695.095703125,,,129.6786981612025,18.665196991801313,12.48811046952591,2.5,0.0246972053730456,0.8459978233743222,9.665503772573388,0.0815802555134913,22.881903032013696,13.666301369429291,43.3666334815413,50.70391017699004,45.2716837721804,107.18805787152291,33.033881158022176,48.61962310465693,51.21438464629275
NGC 2632,Gaia DR3 662797806930496256,129.0585725703571,19.621439742824517,12.4938300798576,4968.32666015625,1120-0407,176.7371450376973,-0.04038906,False,1.385721849304498,1020560.9178226476,92.99870603280252,15206.809026722083,5144.397153102813,274.9036515425565,2.5,,,Gaia DR3 662797806930496256,662797806930496256,12.315075,12.795953,11.673087,1.1228657,4968.3267,4.5227,5.27239044686087,-34.34597165726581,-12.93755243347815,1.0442061,662796917874184960,129.99333333333337,19.609166666666667,Gaia DR3 662797806930496256,4968.32666015625,,,129.0585725703571,19.621439742824517,12.4938300798576,2.5,0.0180855401507312,0.5631945788493243,8.897702853045468,0.0564438837315177,21.13093453246734,12.427542197183202,44.34557646935902,53.51637024839958,43.21684580999531,108.72701903392058,37.05377112166256,53.425618971892824,54.94836087466255
NGC 2632,Gaia DR3 661283027803009792,129.69084705945906,19.575818920328658,12.496637268041528,6377.65869140625,1120-0407,269.34502718011254,-0.19739723,False,3.463338990193201,408338.18646617775,88.06081012211621,16059.511153848898,4240.8184356789925,333.47656444685003,2.5,,,Gaia DR3 661283027803009792,661283027803009792,12.417473,12.657337,12.027535,0.62980175,6377.6587,4.2784,1.756579769893005,7.963747041404837,-16.232977203731537,0.8316226,661276739971003264,129.99333333333337,19.609166666666667,Gaia DR3 661283027803009792,6377.65869140625,,,129.69084705945906,19.575818920328658,12.496637268041528,2.5,0.0328368070210846,1.4398574339814447,11.326011000414216,0.1228417403618957,26.22108752862604,15.914834780240524,41.58523126751503,46.311718897636815,47.118536635937026,104.16119695761512,28.915071968503852,42.23584006117074,46.137963608273125
NGC 2632,Gaia DR3 661244338737678336,130.2749111972067,19.51392251796946,12.502575494767532,5794.7451171875,1120-0407,59.4663051855566,-2.3952847,False,2.476423352240982,571071.0008825167,89.86622370329714,15736.875369797124,4569.648260777306,309.4797414741359,2.5,,,Gaia DR3 661244338737678336,661244338737678336,12.38193,12.725551,11.874364,0.85118675,5794.745,3.9401,1.149383671481737,0.500896033812839,2.1776047326029535,1.0336198,661244270018200192,129.99333333333337,19.609166666666667,Gaia DR3 661244338737678336,5794.7451171875,,,130.2749111972067,19.51392251796946,12.502575494767532,2.5,0.0253097731545486,1.0081777559370484,9.85762235044363,0.0805968101185135,23.62619355722742,14.69643252141514,42.34854929427365,48.86896062988944,47.72340313364134,105.52343333850452,32.21103057001056,46.14497327134624,49.198382737508666
NGC 2632,Gaia DR3 659670795861469312,129.32656752598857,18.752613471035794,12.505171974790878,6040.419921875,1120-0407,210.19722905909,-1.7849045,False,3.436757241140759,411496.49601194315,87.62327458165869,16139.702255194174,4212.547401452305,335.7145754337471,2.5,,,Gaia DR3 659670795861469312,659670795861469312,12.413154,12.686485,11.983863,0.7026224,6040.42,4.3815,2.3867303403336697,-14.010822937057064,1.626016387259997,0.9420209,659668394976319744,129.99333333333337,19.609166666666667,Gaia DR3 659670795861469312,6040.419921875,,,129.32656752598857,18.752613471035794,12.505171974790878,2.5,0.0325796967768326,1.4285834359858014,11.237329008500463,0.1218805843820514,26.04270882206521,15.790222571296132,41.2596213821933,45.949100895531565,46.84605753026963,103.6637208189885,28.68866867625888,41.9051359477244,45.7767060997402
NGC 2632,Gaia DR3 659420077146946688,130.46001461656203,18.350323604400938,12.509516491798667,6042.39013671875,1120-0407,213.2423950710048,-0.12220001,False,3.423302951527843,413113.7624678886,87.40118325515382,16180.714147136016,4198.218332557852,336.8604132390266,2.5,,,Gaia DR3 659420077146946688,659420077146946688,12.418127,12.688659,11.9894905,0.6991682,6042.39,4.044,1.7046406470110675,-4.371264384655876,7.832606309971855,0.93888575,659420622606499200,129.99333333333337,19.609166666666667,Gaia DR3 659420077146946688,6042.39013671875,,,130.46001461656203,18.350323604400938,12.509516491798667,2.5,0.0324495912918105,1.422878455300848,11.192453264228847,0.1213942065353738,25.95231366445474,15.72716506096024,41.09485302696491,45.76560532467672,46.7078219723811,103.41118871182393,28.57410182874244,41.737789760473426,45.59389897938494
NGC 2632,Gaia DR3 661259079065485440,129.83009547035113,19.338548802506068,12.51584824326292,5985.9619140625,1120-0407,224.4065253023754,-0.16915607,False,3.4037869261282734,415482.4003574541,87.07826685802331,16240.71784385533,4177.409721043834,338.5383902490937,2.5,,,Gaia DR3 661259079065485440,661259079065485440,12.413565,12.713623,11.955932,0.7576914,5985.962,4.4416,2.453419403954233,-6.794870741791954,-1.8045674835465868,0.86092675,661258494949939584,129.99333333333337,19.609166666666667,Gaia DR3 661259079065485440,5985.9619140625,,,129.83009547035113,19.338548802506068,12.51584824326292,2.5,0.0322609038329043,1.4146047202744578,11.127371533418676,0.1206888247321086,25.82106073951739,15.635714947321988,40.855895213226944,45.499488081585376,46.50691958306705,103.043993491014,28.407949515263137,41.49509340662899,45.32878017210376
NGC 2632,Gaia DR3 661190153430426880,130.02364747228592,19.025129213225387,12.520973917416478,4717.591796875,1120-0407,107.5301786408931,-2.275693,False,1.3517769581027532,1046188.540125712,91.55461786946294,15446.665556394517,5039.1652930836035,280.6444083733755,2.5,,,Gaia DR3 661190153430426880,661190153430426880,12.306109,12.8715,11.587568,1.2839317,4717.592,4.3607,5.362769906739687,-34.946810725982154,-12.574537056923702,0.9605141,661190015991474688,129.99333333333337,19.609166666666667,Gaia DR3 661190153430426880,4717.591796875,,,130.02364747228592,19.025129213225387,12.520973917416478,2.5,0.0176389995479228,0.549289036374962,8.67801433047469,0.0550507074772389,20.66518531949429,12.120700259485693,43.25066305878491,52.19502557018328,42.41026140322038,107.09795612444748,36.13889585915505,52.10651498593007,53.591659665641075
NGC 2632,Gaia DR3 661068073278048640,131.22461550630123,19.21279770092887,12.52483779844832,4933.8349609375,1120-0407,425.66325486777765,-0.86294556,False,1.3470125104945954,1049888.95897769,91.35044697152016,15481.18930183228,5024.332896019506,281.47290230181534,2.5,,,Gaia DR3 661068073278048640,661068073278048640,12.346804,12.827613,11.707991,1.1196222,4933.835,2.7087,0.5474959566049971,-6.633632986081974,-1.8719854896319053,1.1130316,661066046053491328,129.99333333333337,19.609166666666667,Gaia DR3 661068073278048640,4933.8349609375,,,131.22461550630123,19.21279770092887,12.52483779844832,2.5,0.0175763380419597,0.5473377194573112,8.647186196189644,0.0548552060257207,20.599637977718203,12.077642186405996,43.09701762816939,52.009605819072895,42.29640738074483,106.86760653869878,36.01051456223244,51.92140966345199,53.401278454247006
