dist_bin_pc,v_bin,teff_bin_k,n
120.0,14.75,3200.0,1
280.0,10.25,5000.0,38
340.0,10.0,4800.0,3
180.0,8.5,4800.0,2
490.0,10.75,5000.0,31
490.0,13.25,5000.0,5
120.0,8.0,5000.0,9
480.0,12.25,5000.0,41
240.0,11.0,4600.0,1
360.0,10.75,5000.0,39
420.0,11.5,4800.0,40
270.0,11.0,4800.0,17
20.0,11.0,3400.0,1
250.0,9.5,4800.0,12
450.0,15.25,4800.0,1
220.0,15.75,3400.0,14
410.0,12.25,4800.0,16
230.0,11.5,5000.0,1
250.0,10.5,5000.0,34
480.0,12.25,4600.0,6
290.0,10.0,4800.0,30
310.0,10.25,5000.0,38
190.0,10.0,5000.0,18
330.0,12.0,4800.0,4
330.0,15.75,3400.0,8
420.0,14.0,5000.0,1
480.0,12.5,4800.0,27
320.0,11.0,5000.0,55
140.0,9.5,5000.0,10
360.0,10.75,4600.0,2
190.0,15.75,3400.0,1
320.0,15.75,3400.0,1
360.0,12.5,4800.0,1
430.0,12.0,5000.0,35
210.0,10.25,4800.0,16
450.0,11.25,4800.0,33
260.0,10.0,4800.0,29
300.0,10.0,4800.0,10
360.0,12.75,4800.0,1
380.0,13.0,5000.0,2
360.0,11.5,4800.0,30
260.0,10.25,4800.0,26
380.0,10.0,5000.0,22
400.0,15.5,3600.0,1
470.0,14.0,5000.0,1
230.0,9.0,5000.0,13
120.0,15.75,3000.0,2
480.0,14.0,5000.0,2
220.0,10.25,4600.0,1
340.0,12.75,5000.0,1
470.0,10.75,5000.0,21
480.0,10.75,4800.0,6
350.0,12.25,4800.0,9
280.0,9.25,5000.0,5
460.0,12.75,4400.0,1
230.0,11.75,4400.0,1
430.0,10.75,4800.0,26
380.0,11.5,4600.0,2
120.0,9.5,5000.0,1
440.0,10.5,4800.0,5
100.0,8.5,5000.0,2
180.0,9.75,4600.0,2
490.0,11.5,5000.0,74
290.0,11.0,5000.0,32
90.0,13.5,3400.0,8
140.0,14.5,3400.0,9
380.0,11.25,4600.0,2
20.0,11.75,3000.0,1
410.0,15.5,4800.0,1
430.0,14.75,5000.0,1
180.0,10.25,5000.0,3
170.0,15.0,3400.0,14
170.0,15.25,3200.0,1
200.0,10.25,4600.0,1
420.0,11.75,4600.0,2
350.0,15.75,3600.0,1
190.0,10.5,4200.0,1
310.0,10.75,4600.0,3
70.0,8.0,4800.0,2
220.0,10.25,4800.0,25
300.0,12.25,5000.0,1
90.0,8.0,5000.0,5
280.0,9.75,5000.0,19
240.0,10.5,4800.0,19
290.0,12.0,4800.0,4
240.0,11.0,5000.0,3
420.0,11.75,4800.0,50
420.0,13.25,4800.0,3
140.0,8.5,4600.0,1
470.0,11.25,4800.0,52
400.0,12.0,4800.0,17
340.0,12.0,4200.0,1
470.0,11.5,4800.0,57
410.0,11.75,4600.0,3
200.0,9.25,4600.0,2
360.0,10.5,5000.0,34
440.0,10.75,4800.0,21
430.0,13.75,4800.0,1
170.0,8.75,5000.0,8
250.0,15.5,3400.0,3
260.0,10.75,4800.0,25
140.0,8.0,5000.0,7
200.0,9.25,4800.0,10
350.0,12.25,4200.0,1
430.0,12.5,5000.0,7
