pl_name,pl_trandur,st_teff,st_rad,st_mass,ra,dec,sy_vmag,designation,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,parallax,pmra,pmdec,ruwe,cluster,nn_source_id,nn_sep_arcsec,nn_dG,vis_waltzer_2026,cluster_center_ra,cluster_center_dec
Gaia DR3 66800592725851776,2.5,5092.478515625,,,56.54907922003248,24.622119094596144,11.56944459028351,Gaia DR3 66800592725851776,66800592725851776,11.405896,11.852175,10.798162,1.0540123,5092.4785,4.4997,7.550076412992421,21.195216191185757,-44.69592411866067,1.2001574,M45,66799763794633856,210.21962681324075,1.0083828,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66537981246228096,2.5,5243.95068359375,,,57.72961087519808,24.19724656530266,11.583236969234127,Gaia DR3 66537981246228096,66537981246228096,11.425587,11.855159,10.82816,1.0269985,5243.9507,4.5289,7.156892922325294,18.856737930398275,-43.38606614358302,1.0684023,M45,66540695665565056,224.5449935415103,0.5120554,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65133595657495808,2.5,6169.73486328125,,,55.62276539915125,23.559730005924962,11.584786593295444,Gaia DR3 65133595657495808,65133595657495808,11.459935,11.807491,10.935602,0.8718891,6169.735,4.294,3.959980488390561,12.398103284962287,-0.2646607440045293,1.060428,M45,65129506848731136,271.9012989575242,0.70995903,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66950160667520384,2.5,6299.65673828125,,,57.40510901128336,25.44493378003397,11.590856887015338,Gaia DR3 66950160667520384,66950160667520384,11.407678,11.892293,10.749563,1.1427298,6299.6567,4.0178,2.931788385131633,17.18628794164588,-9.191389723454833,1.3721772,M45,66937688082500096,208.23660025370617,0.42584896,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69857235049588736,2.5,5351.50634765625,,,56.811777082442,25.371626043110563,11.596198625363334,Gaia DR3 69857235049588736,69857235049588736,11.425433,11.8841305,10.797315,1.0868158,5351.5063,4.542,7.473088690859399,19.5615504543579,-45.937804813456154,0.96752083,M45,69857196393686528,55.14925915587471,0.8778734,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66657828012449536,2.5,6295.3837890625,,,57.86623675602798,24.563394872185906,11.597366023312167,Gaia DR3 66657828012449536,66657828012449536,11.500051,11.780903,11.049568,0.7313347,6295.384,4.2146,3.2292410860925607,12.779699880658317,-37.71893603733173,1.2360624,M45,66657415696297344,162.05592583193732,-2.7304726,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65226744906959104,2.5,5610.30224609375,,,56.64281604538897,24.13808564946945,11.608515842060715,Gaia DR3 65226744906959104,65226744906959104,11.464713,11.862259,10.899588,0.9626713,5610.3022,4.0847,3.619157227494431,49.922740739223954,-40.45744430553051,0.83850485,M45,65225611037551360,144.2172637213556,-2.2651682,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 69876712724339456,2.5,5298.6435546875,,,55.951482385995824,25.004185022844748,11.609594982610291,Gaia DR3 69876712724339456,69876712724339456,11.434036,11.902182,10.793709,1.1084728,5298.6436,4.4885,7.435405583801451,19.85967336466963,-45.6027373395702,1.1137286,M45,69829300582277632,131.06439757206988,-0.7630167,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 66506473366231168,2.5,5037.98828125,,,57.24758956559612,23.88628542377795,11.614944545823674,Gaia DR3 66506473366231168,66506473366231168,11.331128,12.083811,10.485329,1.5984821,5037.9883,2.4323,0.4494341924275734,-2.083785051043435,-2.1679743461386107,1.322045,M45,66504755379545728,110.97521885154015,-4.9459343,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65297835207500800,2.5,5190.16455078125,,,56.17220664655621,24.399430572729532,11.617519680058006,Gaia DR3 65297835207500800,65297835207500800,11.457511,11.89069,10.852865,1.0378246,5190.1646,4.453,6.677653532199061,-39.193727277459644,9.529349039224075,0.98764956,M45,65292234570088064,213.6710681079524,-3.335703,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65012164045754752,2.5,5783.52001953125,,,56.98327892010543,23.695975638057266,11.627643209037867,Gaia DR3 65012164045754752,65012164045754752,11.511332,11.842944,11.013338,0.82960606,5783.52,4.3722,4.188442467000033,35.328105140930695,-6.118117399904042,0.80000126,M45,65000035058112768,203.06147057692914,0.10810375,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 65108169451130112,2.5,4837.01513671875,,,55.37881718012559,23.420198336957007,11.631527917341657,Gaia DR3 65108169451130112,65108169451130112,11.379014,12.044845,10.592034,1.4528103,4837.015,2.4875,0.8697652431706825,12.304168033303563,-7.734164435323908,0.89212817,M45,65120470237460480,263.18119259743895,-2.3095207,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 64923279699744256,2.5,5233.2783203125,,,57.25981898022836,23.25223911265763,11.63546636008619,Gaia DR3 64923279699744256,64923279699744256,11.473286,11.914596,10.86683,1.0477657,5233.2783,4.5662,7.266831729278644,19.730996700492646,-44.42819858102819,1.1447881,M45,64923520217910144,126.93537723893994,-3.0861988,0914-0130,56.65833333333333,24.178055555555556
Gaia DR3 68234871282438144,2.5,4666.908203125,,,55.03409751663935,24.284176966678135,11.638092337835642,Gaia DR3 68234871282438144,68234871282438144,11.367108,12.085084,10.547214,1.5378704,4666.908,2.4094,0.8199566153741047,-2.446276209307614,-6.233191019579102,0.9458355,M45,68186767648722048,583.1585238621722,-0.49723625,0914-0130,56.65833333333333,24.178055555555556
